114 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 57, 10, 0 ]
115 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 58, 10, 0 ]
116 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 59, 10, 0 ]
117 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 60, 10, 0 ]
118 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 61, 10, 0 ]
119 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 62, 10, 0 ]
120 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 63, 10, 0 ]
121 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 64, 10, 0 ]
122 / 10000: [ 0, 0, 1, 0, 0 ], [ 0, 64, 10, 0 ]
123 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 64, 10, 0 ]
124 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 65, 10, 0 ]
125 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 66, 10, 0 ]
126 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 67, 10, 0 ]
127 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 67, 10, 0 ]
128 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 68, 10, 0 ]
129 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 69, 10, 0 ]
130 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 70, 10, 0 ]
131 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 71, 10, 0 ]
132 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 72, 10, 0 ]
133 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 73, 10, 0 ]
134 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 73, 10, 0 ]
135 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 74, 10, 0 ]
136 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 75, 10, 0 ]
137 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 76, 10, 0 ]
138 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 76, 11, 0 ]
139 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 76, 11, 0 ]
140 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 77, 11, 0 ]
141 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 78, 11, 0 ]
142 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 78, 11, 0 ]
143 / 10000: [ 0, 0, 1, 0, 0 ], [ 0, 78, 11, 0 ]
144 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 79, 11, 0 ]
145 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 79, 11, 0 ]
146 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 80, 11, 0 ]
147 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 81, 11, 0 ]
148 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 82, 11, 0 ]
